time,open,high,low,close
1519828200,0.0003,0.0003,0.0001,0.0001
1519914600,0.0002,0.003,0.0002,0.0016
1520001000,0.00175,0.0018,0.0006,0.0006
1520260200,0.0008,0.0008,0.0004,0.0005
1520346600,0.0005,0.0005,0.0003,0.0005
1520433000,0.0004,0.0004,0.0003,0.0003
1520519400,0.0003,0.0005,0.0003,0.0005
1520605800,0.0004,0.0005,0.0003,0.0003
1520861400,0.0004,0.0004,0.0003,0.0004
1520947800,0.0003,0.0004,0.0002,0.0002
1521034200,0.0003,0.0004,0.00029,0.0003
1521120600,0.0004,0.0004,0.0003,0.0004
1521207000,0.0003,0.0004,0.0003,0.0004
1521466200,0.0003,0.0003,0.0002,0.0002
1521552600,0.0002,0.0004,0.0002,0.0004
1521725400,0.0003,0.0004,0.0003,0.0004
1521811800,0.0002,0.0004,0.0002,0.0002
1522071000,0.0002,0.0002,0.0002,0.0002
1522157400,0.0003,0.0003,0.0003,0.0003
1522243800,0.0003,0.0003,0.0002,0.0002
1522330200,0.0002,0.0002,0.0002,0.0002
1522675800,0.0003,0.0003,0.0003,0.0003
1522848600,0.0002,0.0002,0.0002,0.0002
1522935000,0.0002,0.0002,0.0002,0.0002
1523021400,0.0002,0.0002,0.0002,0.0002
1523280600,0.0002,0.0002,0.00019,0.0002
1523367000,0.0003,0.0003,0.0001,0.0001
1523453400,0.0002,0.0002,0.00015,0.0002
1523539800,0.0002,0.0002,0.0002,0.0002
1523626200,0.0002,0.0003,0.0002,0.0002
1523971800,0.0003,0.0003,0.0003,0.0003
1524058200,0.0003,0.0003,0.0003,0.0003
1524144600,0.0002,0.0002,0.0002,0.0002
1524231000,0.0002,0.0003,0.0002,0.0003
1524490200,0.0003,0.0003,0.0003,0.0003
1524576600,0.0003,0.0003,0.0003,0.0003
1524663000,0.0003,0.0003,0.0003,0.0003
1524749400,0.0002,0.0002,0.0002,0.0002
1524835800,0.0002,0.0002,0.0002,0.0002
1525181400,0.0003,0.0003,0.0002,0.0002
1525267800,0.0002,0.0002,0.0001,0.0001
1525354200,0.0003,0.0003,0.0001,0.0001
1525440600,0.0001,0.0003,0.0001,0.0002
1525699800,0.0003,0.0003,0.0003,0.0003
1525959000,0.0002,0.0002,0.0001,0.0001
1526045400,0.0002,0.0002,0.0002,0.0002
1526304600,0.0002,0.0002,0.00015,0.0002
1526650200,0.0003,0.0003,0.0001,0.0001
1526909400,0.0001,0.0003,0.0001,0.0002
1526995800,0.0003,0.0003,0.0003,0.0003
1527168600,0.0002,0.0002,0.0002,0.0002
1527255000,0.0003,0.0007,0.00025,0.0005
1527600600,0.0005,0.0006,0.0004,0.0006
1527687000,0.0006,0.0007,0.0004,0.0007
